Báculo Mago Agite
Vara Druida Agite
Sable Druida Agite
Espadita Bardo Agite
Empuñadura Bardo Agite
Espada Clero Agite
Empuñadura Ase Agite
Espada Pala Agite
Espada Caza Agite
Manopla Guerre Agite
Espada Guerre Agite
Escudo Druida Agite
Escudo Bardo
Escudo Clero Agite
Escudo Ase Agite
Escudo Pala Agite
Escudo Caza Agite
Escudo Guerre Agite
Anillo +3 Agite
Anillo +2 Agite
Anillo +1 Agite





Arco Caza Agite
Arco Guerre Agite
Sombrero Mago Agite
Gorro Druida Agite
Casco Bardo Agite
Casco Clero Agite
Casco Ase Agite
Casco Pala Agite
Casco Caza Agite
Casco Guerre Agite
Tunica Mago Agite
Tunica Druida Agite
Armadura Bardo Agite
Armadura Clero Agite
Armadura Ase Agite
Armadura Pala Agite
Armadura Caza Agite
Armadura Guerre Agite
Flecha Agite
Daga Newbie
Escudo Tortuga Newbie

Flecha Newbie
Vestimenta Común Roja
Vestimenta Común Azul
Báculo Mago Torneo
Vara Druida Torneo
Sable Druida Torneo
Espadita Bardo Torneo
Empuñadura Bardo Torneo
Espada Clero Torneo
Empuñadura Ase Torneo
Espada Pala Torneo
Espada Caza Torneo
Manopla Guerre Torneo
Espada Guerre
Escudo Druida Torneo
Escudo Bardo Torneo
Escudo Clero Torneo
Escudo Ase Torneo
Escudo Pala Torneo
Escudo Caza Torneo
Escudo Guerre Torneo
Anillo +3 Torneo
Anillo +2 Torneo
Anillo +1 Torneo





Arco Caza Torneo
Arco Guerre Torneo
Sombrero Mago Torneo
Gorro Druida Torneo
Casco Bardo Torneo
Casco Clero Torneo
Casco Ase Torneo
Casco Pala Torneo
Casco Caza Torneo
Casco Guerre Torneo
Tunica Mago Torneo
Tunica Druida Torneo
Armadura Bardo Torneo
Armadura Clero Torneo
Armadura Ase Torneo
Armadura Pala Torneo
Armadura Caza Torneo
Armadura Guerre Torneo
Flecha Torneo
Báculo pt1
Daga pt1
Espada liviana pt1
Espada pesada pt1

Arco pt1
Gorro Druida pt1
Casco liviano pt1
Sombrero pt1
Casco pesado pt1
Tunica pt1
Armadura liviana pt1
Armadura pesada pt1
Escudo liviano pt1
Escudo pesado pt1
Flecha
Báculo pt2
Daga pt2
Espada liviana pt2
Espada pesada pt2

Arco pt2
Gorro Druida pt2
Casco liviano pt2
Sombrero pt2
Casco pesado pt2
Tunica pt2
Armadura liviana pt2
Armadura pesada pt2
Escudo liviano pt2
Escudo pesado pt2
Flecha
Tunica Alianza 1ra
Tunica Alianza 2da
Tunica Alianza 3ra
Tunica Alianza 4ta
Tunica Alianza 5ta
Armadura Liviana Alianza 1ra
Armadura Liviana Alianza 2da
Armadura Liviana Alianza 3ra
Armadura Liviana Alianza 4ta
Armadura Liviana Alianza 5ta
Armadura Pesada Alianza 1ra
Armadura Pesada Alianza 2da
Armadura Pesada Alianza 3ra
Armadura Pesada Alianza 4ta
Armadura Pesada Alianza 5ta
Tunica Horda 1ra
Tunica Horda 2da
Tunica Horda 3ra
Tunica Horda 4ta
Tunica Horda 5ta
Armadura Liviana Horda 1ra
Armadura Liviana Horda 2da
Armadura Liviana Horda 3ra
Armadura Liviana Horda 4ta
Armadura Liviana Horda 5ta
Armadura Pesada Horda 1ra
Armadura Pesada Horda 2da
Armadura Pesada Horda 3ra
Armadura Pesada Horda 4ta
Armadura Pesada Horda 5ta
Anillo +3 pt1
Anillo +2 pt1
Anillo +1 pt1
Anillo +3 pt2
Anillo +2 pt2
Anillo +1 pt2










Barca
Galera
Galeón
Martillo de Herrero
Piquete de Minero
Serrucho
Hacha de Leñador
Flecha Mágica
Destello Mágico
Curar Veneno
Envenenar
Curar Heridas Graves
Fuego Mágico
Paralizar
Remover parálisis
Invisibilidad
Resucitar
Celeridad
Fuerza
Inmovilizar
Descarga Eléctrica
Apocalípsis
Invocar Elemental de Fuego
Invocar Elemental de Agua
Mimetismo
Llama de Dragon
Ira de Fuego
Maldición
Curar heridas Mortales
Detectar Invisibilidad
Teletransportar Kählimdor
Teletransportar Anvilmar
Burbuja Defensiva
Grito de Guerra
Inferno
Fuego Divino
Prisión Gélida
Rafaga Ardiente
Viento Huracanado
Insurreccion Sombria
Tormenta de Fuego
Relampago
Poción Amarilla
Poción Azul
Poción Roja
Poción Verde
Poción Violeta
Manzana Roja
Porción de tarta
Pastel
Pollo
Dorado
Trucha
Pez Espada
Salmón
Vino
Botella de agua
Cerveza
Jugo de frutas
Mapa del Tesoro
Leña
Piedra Magica
Copa de Oro
Copa de Plata
Copa de Bronce
Medalla de Oro
Pendiente del Sacrificio
Diadema de Oro
Anillo de Rey
Espada Maligna
Armadura de Ancalagon
Escudo del Inframundo
Cabeza Rey de la Alianza
Cabeza Chief de la Horda
Hierro
Plata
Oro
Lingote de hierro
Lingote de plata
Lingote de oro
Gema Plateada
Gema Azul
Gema Naranja
Gema Celeste
Gema Lila
Gema Roja
Gema Verde
Gema Violeta
Piel de lobo
Piel de Oso Pardo
Piel de Oso Polar
Gema Negra
Gema Sagrada
Pack 150 puntos de Torneo
Pack 250 puntos de Torneo
Pack 400 puntos de Torneo
Ramitas
Fogata
Vestimenta Común Roja
Vestimenta Común Verde
Vestimenta Común Azul
Manzana Roja
Poción Amarilla
Poción Azul
Poción Roja
Vino
