160
72,83
94,83
72,99
94,99
72,114
99,119
72,130
94,130
94,146
72,162
94,162
72,178
94,178
116,130
116,146
116,162
116,178
137,146
137,178
94,194
116,194
116,210
94,67
116,67
116,83
203,83
51,83
137,130
94,210

116,226
72,146
181,19
137,162
159,35
181,35
159,51
116,1 (SEGUNDO GRAFICO)
116,17(Segundo grafico)
94,17(SEGUNDO GRAFICO)
94,226
94,241
116,241
137,241
159,241
181,226
181,210
159,210
137,210
137,194
159,178
159,162
159,146
159,130
159,114
181,114
203,114
159,99
159,83
51,99
51,114
51,130
51,146
51,162
51,178
51,194
72,194
72,210
159,194
181,242

203,99
29,146
72,226
159,67
137,51
116,51
181,130











137,114
116,114
137,99
116,99
137,83
137,67
72,67



















203,67








51,226
29,226
51,242
29,242
137,17
159,17
?????131???????

72,242
182,67
94,51
116,36



182,99







51,67
51,51
